source,section,variable_name,display_name,role,scale,mapper,ignore_strings,unable_to_detect_policy,recode_func,sortable,searchable,web_filter_prio,web_timeline_prio,web_viz_prio,web_viz_log,web_viz_bins,web_display_prio,description,accepted_labels
activity,Activity details,activity_type,Activity type,standard,string,{},[],,recode_long_strings,,,402.0,110.0,402.0,,,307.0,The type of the activity,
activity,Activity details,extra_data,Extra data,standard,string,{},[],,recode_long_strings,,1.0,,,,,,310.0,TBD,
activity,Activity details,collection_id,Collection ID,group_factor,string,{},[],,,,,401.0,,,,,301.0,Identifier for the collection,
activity,Activity details,data_source,Data source,standard,string,{},[],,,,,409.0,,,,,,TBD,
activity,Activity details,play_duration,Play duration,standard,ratio,,,,,,,,,,,,308.0,For how long did they play the video.,
activity,Activity details,utc_timestamp,UTC Timestamp,standard,datetime,,,,,1.0,,,,,,,,Standard Coordinated Universal Time of the activity.,
activity,Fundamentals,item_id,Video ID,standard,string,{},[],,,,,,,,,,101.0,Unique identifier for the specific video.,
backstage,backstage,event_id,Activity ID,standard,ratio,,,,,,,,,,,,,TBD,
backstage,backstage,scrape_fail,Scrape Failed,standard,,,,,,,,,,,,,,TBD,
backstage,backstage,scraped_ok,Scrape OK,standard,,,,,,,,,,,,,,TBD,
backstage,backstage,session_id,Session id,standard,factor,{},[],,,,,,,,,,,TBD,
backstage,backstage,ts_added_to_dataset,TS added to dataset,standard,datetime,,,,,,,,,,,,,TBD,
backstage,backstage,video_downloaded,Video downloaded,standard,,,,,,,,,,,,,,TBD,
backstage,backstage,annotated_fail,Machine Annotation Failed,standard,,,,,,,,,,,,,,Flag indicating AI analysis failed.,
backstage,backstage,annotated_ok,Machine Annotation OK,standard,,,,,,,,,,,,,,Flag indicating AI analysis completed successfully.,
derived: activity,Activity details,local_date,Activity date,group_factor,datetime,{},[],,,,,405.0,,,,,,Date of the activity adjusted to local timezone.,
derived: activity,Activity details,local_day_segment,Activity day segment,standard,string,{},[],,,,,404.0,,404.0,,,303.0,"Time of day (e.g., morning, night) in local time.",
derived: activity,Activity details,local_hour,Activity hour,feature,interval,{},[],,,,,,,,,,,Hour of the day (0-23) in local time.,
derived: activity,Activity details,local_timestamp,Activity timestamp,standard,datetime,{},[],,,,,,,,,,304.0,Precise activity time adjusted to local timezone.,
derived: activity,Activity details,local_week,Activity week,factor,string,{},[],,,,,406.0,,,,,305.0,Week number of the activity in local time.,
derived: activity,Activity details,local_weekday,Activity weekday,factor,string,{},[],,,,,407.0,,407.0,,,306.0,"Day of the week (e.g., Monday) in local time.",
derived: activity,backstage,event_order_in_session,Activity order in session,standard,ordinal,{},[],,,,,,,,,,,TBD,
derived: activity,backstage,event_pos_in_session,Activity pos in session,standard,interval,{},[],,,,,,,,,,,TBD,
derived: activity & scrape,Activity details,completion_rate,Completion Rate,feature,ratio,{},[],,,8.0,,408.0,,408.0,,,309.0,How much of the video did the user play at this activity,
derived: activity & scrape,Activity details,days_since_created,Days since posted,standard,ratio,{},[],,,,,403.0,,403.0,yes,10,302.0,Number of days elapsed since the video was uploaded.,
derived: scrape,Activity details,tz_offset,Timezone offset,standard,interval,,,,,,,,,,,,,Offset in seconds from UTC.,
derived: scrape,Fundamentals,desc_hashtags,Hashtags,standard,collection,{},[],,,,,101.0,102.0,101.0,,,104.0,List of hashtags extracted from the caption.,
derived: scrape,Fundamentals,desc_mentions,Desc mentions,skip,collection,{},[],,,,,,,,,,,User mentions in the description.,
derived: scrape,Fundamentals,desc_not_hashtags,Desc words that are not hashtags,skip,collection,{},[],,,,,,,,,,,Description text with hashtags removed.,
derived: scrape,Fundamentals,desc_raw,Description,standard,string,{},[],,,,1.0,,,,,,105.0,Original video caption including text and hashtags.,
derived: scrape & activity,Popularity,plays_per_day,Plays per day,standard,ratio,{},[],,,7.0,,306.0,,306.0,yes,50,401.0,Average video views calculated per day since upload.,
not_used,backstage,sample_id,Sample ID,standard,interval,{},[],,,,,,,,,,,TBD,
not_used,Activity details,tz_name,Timezone name,factor,string,{},[],,,,,,,,,,,Name of the timezone used for local adjustments.,
scrape,Fundamentals,desc,Desc raw,raw,raw,{},[],,recode_descriptions,,,,,,,,,Description text.,
scrape,backstage,anchors,Anchors ,standard,string,{},[],keep,recode_long_strings,,,,,,,,,TBD,
scrape,backstage,primary_label,Extra label,standard,string,{},[],,recode_long_strings,,,,,,,,,TBD,
scrape,Fundamentals,author_nickname,Author nickname,standard,string,{},[],keep,recode_long_strings,,,102.0,,,,,,The display name shown on the creator's profile.,
scrape,Fundamentals,author_signature,Author signature,standard,string,{},[],keep,recode_long_strings,,,,,,,,,The text content of the creator's bio.,
scrape,Fundamentals,author_uniqueId,Author uniqueId,standard,string,{},[],keep,recode_long_strings,,,103.0,,,,,,The creator's unique username handle,
scrape,Fundamentals,music_album,Music album,standard,string,{},[],keep,recode_long_strings,,1.0,,,,,,,Album where the song appeared.,
scrape,Fundamentals,music_authorName,Music author name,standard,string,{},[],keep,recode_long_strings,,1.0,,,,,,,Name of the artist who created the song.,
scrape,Fundamentals,music_title,Music title,standard,string,{},[],keep,recode_long_strings,,1.0,104.0,,,,,,Title of the song playing.,
scrape,geography,poi_address,POI Address,standard,string,{},[],keep,recode_long_strings,,,,,,,,,Address of the Point of Interest tagged.,
scrape,geography,poi_city,POI City,standard,string,{},[],keep,recode_long_strings,,1.0,,,,,,,City of the Point of Interest tagged.,
scrape,geography,poi_country,POI Country,standard,string,{},[],keep,recode_long_strings,,1.0,,,,,,,Country of the Point of Interest tagged.,
scrape,geography,poi_name,POI Name,standard,string,{},[],keep,recode_long_strings,,1.0,,,,,,,Name of the specific location/venue tagged.,
scrape,geography,poi_province,POI Province,standard,string,{},[],keep,recode_long_strings,,1.0,,,,,,,Province/State of the Point of Interest tagged.,
scrape,Fundamentals,isAd,Advertising - TikTok,feature,dichotomous,{},[],,recode_stringified_list,,,,,,,,,Platform flag indicating if the video is an advertisement.,
scrape,Fundamentals,IsAigc,AIGC - TikTok,feature,dichotomous,{},[],,recode_stringified_list,,,,,,,,,Platform flag indicating AI-generated content.,
scrape,Fundamentals,challenges,This is a list of hashtags,skip,categorical,GENERIC_MAPPER,[],keep,recode_stringified_list,,,,,,,,,Hashtags or trends associated with the video.,
scrape,backstage,image_list,,standard,,,,,,,,,,,,,,TBD,
scrape,Fundamentals,author_id,Author ID,standard,string,{},[],,,,,,,,,,,TBD,
scrape,Fundamentals,createTime,Time added to platform,standard,datetime,{},[],,,10.0,,,,,,,103.0,Unix timestamp of when the video was uploaded.,
scrape,Fundamentals,music_id,Music ID,standard,string,{},[],,,,,,,,,,,TBD,
scrape,Fundamentals,video_duration,Video duration,standard,ratio,{},[],,,9.0,,,,,yes,10,102.0,Length of the video in seconds,
scrape,Popularity,stats_collectCount,Save count,feature,ratio,{},[],,,6.0,,301.0,,301.0,yes,50,402.0,Number of times the video was added to a user's 'Collection',
scrape,Popularity,stats_commentCount,Comment count,feature,ratio,{},[],,,5.0,,302.0,,302.0,yes,50,403.0,Total comments on the video.,
scrape,Popularity,stats_diggCount,Fave count,feature,ratio,{},[],,,3.0,,303.0,,303.0,yes,50,404.0,Total likes on the video.,
scrape,Popularity,stats_playCount,Play count,feature,ratio,{},[],,,2.0,,304.0,,304.0,yes,50,405.0,Total views on the video.,
scrape,Popularity,stats_shareCount,Share count,feature,ratio,{},[],,,4.0,,305.0,,305.0,yes,50,406.0,Total shares of the video.,
scrape,Fundamentals,music_duration,Music duration,standard,ratio,,,,,,,,,,,,,,
scrape,Fundamentals,music_original,Is this music original?,standard,,,,,,,,,,,,,,,
